number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mape,user_attrs_mda,state,mda,mape
0,0.2558139534883721,2026-05-28 15:35:54.000601,2026-05-28 15:35:59.287026,0 days 00:00:05.286425,0.5290418060840998,0.1205712628744377,15,19,1238,105,0.6245760287469887,0.002570603566117596,0.5779972601681014,0.010250778958501978,0.7441860465116279,COMPLETE,0.7441860465116279,0.010250778958501978
1,0.2093023255813954,2026-05-28 15:35:59.287708,2026-05-28 15:36:02.732465,0 days 00:00:03.444757,0.5917022549267169,0.27081608642499677,3,25,1682,185,5.472429642032189e-06,0.00052821153945323,0.5909124836035503,0.009052987760658814,0.7906976744186046,COMPLETE,0.7906976744186046,0.009052987760658814
2,0.3023255813953488,2026-05-28 15:36:02.732903,2026-05-28 15:36:04.123458,0 days 00:00:01.390555,0.728034992108518,0.08012737503998542,6,33,365,119,0.11656915613247415,6.267062696005991e-07,0.6831809216468459,0.013628614359725308,0.6976744186046512,COMPLETE,0.6976744186046512,0.013628614359725308
3,0.2558139534883721,2026-05-28 15:36:04.124371,2026-05-28 15:36:13.080506,0 days 00:00:08.956135,0.9744427686266666,0.011711509955524094,10,21,1254,138,4.905556676028766,0.1886149587855396,0.5325257964926398,0.01034062529897422,0.7441860465116279,COMPLETE,0.7441860465116279,0.01034062529897422
4,0.3023255813953488,2026-05-28 15:36:13.081072,2026-05-28 15:36:15.737318,0 days 00:00:02.656246,0.5171942605576092,0.1024932221692416,4,16,936,88,1.5271567592511939,2.133142332373e-06,0.7475884550556351,0.0077745534013333945,0.6976744186046512,COMPLETE,0.6976744186046512,0.0077745534013333945
5,0.2790697674418605,2026-05-28 15:36:15.737782,2026-05-28 15:36:21.422865,0 days 00:00:05.685083,0.8875664116805573,0.05864129169696527,7,22,1139,174,2.8542399074977594,1.1309571585271492,0.9847923138822793,0.009700363472465352,0.7209302325581395,COMPLETE,0.7209302325581395,0.009700363472465352
6,0.32558139534883723,2026-05-28 15:36:21.423351,2026-05-28 15:36:27.460057,0 days 00:00:06.036706,0.6943386448447411,0.01351182947645082,14,9,472,159,2.7678419414850017e-06,0.287499823474079,0.6626651653816322,0.010619572276352553,0.6744186046511628,COMPLETE,0.6744186046511628,0.010619572276352553
7,0.41860465116279066,2026-05-28 15:36:27.460657,2026-05-28 15:36:28.422052,0 days 00:00:00.961395,0.9934434683002586,0.06333268775321839,6,82,367,100,0.08916674715636552,6.143857495033091e-07,0.5372753218398854,0.013040813065284576,0.5813953488372093,COMPLETE,0.5813953488372093,0.013040813065284576
8,0.4418604651162791,2026-05-28 15:36:28.422606,2026-05-28 15:36:31.098280,0 days 00:00:02.675674,0.6792328642721364,0.11069143219393454,13,79,1485,16,1.1036250149900698e-07,0.5860448217200526,0.5370223258670452,0.012831776573037978,0.5581395348837209,COMPLETE,0.5581395348837209,0.012831776573037978
9,0.3023255813953488,2026-05-28 15:36:31.098860,2026-05-28 15:36:34.066375,0 days 00:00:02.967515,0.8187787356776066,0.012413189635294229,7,36,691,165,0.9658611176861261,0.0001778010520878397,0.864803089169032,0.01576412901129901,0.6976744186046512,COMPLETE,0.6976744186046512,0.01576412901129901
10,0.39534883720930236,2026-05-28 15:36:34.066926,2026-05-28 15:36:37.778515,0 days 00:00:03.711589,0.6277217293825994,0.27047297227177763,3,59,1910,248,4.32747580263185e-05,0.00020590009861590298,0.8451235367845726,0.0068209205217374886,0.6046511627906976,COMPLETE,0.6046511627906976,0.0068209205217374886
11,0.34883720930232553,2026-05-28 15:36:37.779224,2026-05-28 15:36:42.790413,0 days 00:00:05.011189,0.5110175066126511,0.26817078508151854,11,52,1686,214,0.0014441715954420077,0.003918530335205842,0.6284908682843016,0.007094090348958905,0.6511627906976745,COMPLETE,0.6511627906976745,0.007094090348958905
12,0.34883720930232553,2026-05-28 15:36:42.790960,2026-05-28 15:36:48.723884,0 days 00:00:05.932924,0.5648780973751629,0.16145633711303542,15,39,1471,61,0.0006505761836305459,0.003910440683568462,0.6368719098105871,0.011987184623070343,0.6511627906976745,COMPLETE,0.6511627906976745,0.011987184623070343
13,0.34883720930232553,2026-05-28 15:36:48.724521,2026-05-28 15:37:10.688014,0 days 00:00:21.963493,0.604778229029301,0.02594475096705173,11,5,1999,216,3.6405561984731904e-06,0.006339619132612613,0.5859890951691943,0.012687228611309784,0.6511627906976745,COMPLETE,0.6511627906976745,0.012687228611309784
14,0.37209302325581395,2026-05-28 15:37:10.688918,2026-05-28 15:37:12.036230,0 days 00:00:01.347312,0.6011077254505661,0.17080659935001266,9,97,890,52,0.015936847132187043,1.864913923298407e-05,0.7466249497215665,0.012197161405770875,0.627906976744186,COMPLETE,0.627906976744186,0.012197161405770875
15,0.32558139534883723,2026-05-28 15:37:12.036764,2026-05-28 15:37:17.190566,0 days 00:00:05.153802,0.7924604677532988,0.16625944364237571,13,49,1385,197,1.3790926312136672e-08,0.027682559458258416,0.5943154140680537,0.01047378900033885,0.6744186046511628,COMPLETE,0.6744186046511628,0.01047378900033885
16,0.18604651162790697,2026-05-28 15:37:17.191107,2026-05-28 15:37:21.678800,0 days 00:00:04.487693,0.5004932902581127,0.03167502366659873,4,29,1689,134,3.154443500139822e-05,1.314053143275926e-08,0.51059520987161,0.01109909268431737,0.813953488372093,COMPLETE,0.813953488372093,0.01109909268431737
17,0.3023255813953488,2026-05-28 15:37:21.679336,2026-05-28 15:37:25.048097,0 days 00:00:03.368761,0.6601698676289585,0.03169276775760038,3,65,1718,132,2.1842674622859036e-05,1.9356843184875068e-08,0.511212850736065,0.007799778353786691,0.6976744186046512,COMPLETE,0.6976744186046512,0.007799778353786691
18,0.2558139534883721,2026-05-28 15:37:25.048561,2026-05-28 15:37:25.694034,0 days 00:00:00.645473,0.5558053206923343,0.03413032809050686,5,32,115,253,3.454343867629618e-07,1.680139910904981e-08,0.7148907845775087,0.01482503972485563,0.7441860465116279,COMPLETE,0.7441860465116279,0.01482503972485563
19,0.2093023255813954,2026-05-28 15:37:25.694579,2026-05-28 15:37:30.235033,0 days 00:00:04.540454,0.576325100764261,0.020105353253087422,4,44,1731,188,6.764551173752454e-05,2.8050448941205657e-05,0.8190247438525893,0.012481842532541091,0.7906976744186046,COMPLETE,0.7906976744186046,0.012481842532541091
20,0.2093023255813954,2026-05-28 15:37:30.235999,2026-05-28 15:37:38.176513,0 days 00:00:07.940514,0.6345626615552883,0.019866257464510248,8,27,1598,147,2.460114262930833e-06,8.80207501426475,0.9517544509454043,0.01472320358211857,0.7906976744186046,COMPLETE,0.7906976744186046,0.01472320358211857
21,0.2558139534883721,2026-05-28 15:37:38.177109,2026-05-28 15:37:42.643608,0 days 00:00:04.466499,0.5723364309043469,0.041823960584429186,4,43,1771,182,6.55459451851623e-05,2.382003994219473e-05,0.8381248217214531,0.011322651939659773,0.7441860465116279,COMPLETE,0.7441860465116279,0.011322651939659773
22,0.2558139534883721,2026-05-28 15:37:42.644239,2026-05-28 15:37:47.817627,0 days 00:00:05.173388,0.5127377490247802,0.017353811254034724,5,44,1822,195,0.002896608918035345,1.5470861364979615e-07,0.7929397514155676,0.012359107780420727,0.7441860465116279,COMPLETE,0.7441860465116279,0.012359107780420727
23,0.2790697674418605,2026-05-28 15:37:47.818210,2026-05-28 15:37:50.957080,0 days 00:00:03.138870,0.5770081878728345,0.020923077558523694,3,61,1617,225,0.000162259972897405,2.4579625687541203e-05,0.89383379986818,0.00643844702681658,0.7209302325581395,COMPLETE,0.7209302325581395,0.00643844702681658
24,0.34883720930232553,2026-05-28 15:37:50.957616,2026-05-28 15:37:57.434164,0 days 00:00:06.476548,0.730893823947458,0.046220085385196175,5,28,1988,187,1.5708241991138597e-05,0.0005539202839193393,0.5051225621630001,0.009147967039771507,0.6511627906976745,COMPLETE,0.6511627906976745,0.009147967039771507
25,0.2790697674418605,2026-05-28 15:37:57.434729,2026-05-28 15:38:01.666005,0 days 00:00:04.231276,0.6379184940717061,0.026399251375790418,4,12,1355,157,3.7330168354077543e-07,8.66456419030562e-06,0.914594259519325,0.01005496159304416,0.7209302325581395,COMPLETE,0.7209302325581395,0.01005496159304416
26,0.2325581395348837,2026-05-28 15:38:01.666590,2026-05-28 15:38:09.350535,0 days 00:00:07.683945,0.543926191656421,0.016074231421879494,6,26,1863,231,0.00021844155093953967,8.349548029162074e-08,0.7850449057506464,0.007938937463763332,0.7674418604651163,COMPLETE,0.7674418604651163,0.007938937463763332
27,0.2093023255813954,2026-05-28 15:38:09.351287,2026-05-28 15:38:12.489664,0 days 00:00:03.138377,0.5999648407295962,0.03978680060106165,3,45,1535,204,9.16592969045551e-06,0.0005372832745433803,0.7913212737738504,0.009040740580456874,0.7906976744186046,COMPLETE,0.7906976744186046,0.009040740580456874
28,0.34883720930232553,2026-05-28 15:38:12.490319,2026-05-28 15:38:15.169942,0 days 00:00:02.679623,0.7846672467138487,0.02572318290396588,4,70,1104,121,0.004349144632047987,0.052379849156623075,0.7019488590597025,0.010321701807786623,0.6511627906976745,COMPLETE,0.6511627906976745,0.010321701807786623
29,0.2790697674418605,2026-05-28 15:38:15.170795,2026-05-28 15:38:20.918187,0 days 00:00:05.747392,0.502831813760805,0.08853874505145654,7,16,1302,76,7.466044887125707e-07,7.834211232523301e-05,0.5664919730727157,0.006340817047870007,0.7209302325581395,COMPLETE,0.7209302325581395,0.006340817047870007
30,0.2093023255813954,2026-05-28 15:38:20.918712,2026-05-28 15:38:26.027517,0 days 00:00:05.108805,0.5440160023989659,0.06684570341025867,5,39,1704,176,5.505370084343336e-08,2.286959505320086e-06,0.6309758949504314,0.014544090224740267,0.7906976744186046,COMPLETE,0.7906976744186046,0.014544090224740267
31,0.2790697674418605,2026-05-28 15:38:26.028044,2026-05-28 15:38:33.785183,0 days 00:00:07.757139,0.639578232449453,0.020032451407414914,8,27,1587,143,1.911001768081451e-06,3.7531206890181834,0.9991417930830014,0.013937935209488684,0.7209302325581395,COMPLETE,0.7209302325581395,0.013937935209488684
32,0.2093023255813954,2026-05-28 15:38:33.785722,2026-05-28 15:38:41.556464,0 days 00:00:07.770742,0.6957751404673546,0.021088051625488848,8,29,1603,151,7.152161149165072e-06,9.699280431849946,0.9490174805410408,0.013542446661232811,0.7906976744186046,COMPLETE,0.7906976744186046,0.013542446661232811
33,0.2093023255813954,2026-05-28 15:38:41.557116,2026-05-28 15:38:47.999932,0 days 00:00:06.442816,0.5955176736258426,0.01624033686244588,6,20,1439,125,1.2314885820658298e-06,0.041666281070963256,0.9402670606539698,0.00949570577446004,0.7906976744186046,COMPLETE,0.7906976744186046,0.00949570577446004
34,0.2325581395348837,2026-05-28 15:38:48.000378,2026-05-28 15:38:51.613303,0 days 00:00:03.612925,0.542847374079927,0.010888207653848991,4,34,1188,109,8.327672588890342e-05,1.5170279535802745e-07,0.8268430316446683,0.013558374386372288,0.7674418604651163,COMPLETE,0.7674418604651163,0.013558374386372288
35,0.2558139534883721,2026-05-28 15:38:51.613783,2026-05-28 15:38:57.563560,0 days 00:00:05.949777,0.6193060909239817,0.0309913456733257,10,21,973,141,0.0005458311580750786,2.95565849151222e-06,0.5616179256189543,0.010403613234426973,0.7441860465116279,COMPLETE,0.7441860465116279,0.010403613234426973
36,0.2325581395348837,2026-05-28 15:38:57.564080,2026-05-28 15:39:09.766316,0 days 00:00:12.202236,0.9268381767504691,0.048828900794883785,8,13,1874,170,2.4509906193126873e-05,0.012869210997485671,0.9680109179103338,0.006659119692533153,0.7674418604651163,COMPLETE,0.7674418604651163,0.006659119692533153
37,0.2558139534883721,2026-05-28 15:39:09.766851,2026-05-28 15:39:13.640749,0 days 00:00:03.873898,0.6616904419437958,0.0362003579250812,3,23,1775,108,5.364589302626282e-06,0.0012477623121179364,0.8818495020765112,0.012066891206422898,0.7441860465116279,COMPLETE,0.7441860465116279,0.012066891206422898
38,0.34883720930232553,2026-05-28 15:39:13.641223,2026-05-28 15:39:17.232205,0 days 00:00:03.590982,0.5334017056123164,0.2078146133659907,6,55,1238,152,9.33845472900269e-08,5.341604417433999e-07,0.6597400480534246,0.010511002501533664,0.6511627906976745,COMPLETE,0.6511627906976745,0.010511002501533664
39,0.2790697674418605,2026-05-28 15:39:17.232978,2026-05-28 15:39:21.563476,0 days 00:00:04.330498,0.5803558434270785,0.07678027813442677,4,37,1664,187,0.00012319812525405673,0.1861912821697884,0.6080248154585528,0.015024354996475076,0.7209302325581395,COMPLETE,0.7209302325581395,0.015024354996475076
40,0.2558139534883721,2026-05-28 15:39:21.564120,2026-05-28 15:39:27.104121,0 days 00:00:05.540001,0.7112341773336435,0.014367648823694217,5,31,1557,91,0.011918981812919031,1.0936304934860726,0.5271559470645144,0.01428197496679904,0.7441860465116279,COMPLETE,0.7441860465116279,0.01428197496679904
41,0.2093023255813954,2026-05-28 15:39:27.104718,2026-05-28 15:39:30.159073,0 days 00:00:03.054355,0.651076785361762,0.03957155885908369,3,46,1453,204,1.0191612039916958e-05,6.570012480324105e-05,0.8021211142055771,0.010216536585685944,0.7906976744186046,COMPLETE,0.7906976744186046,0.010216536585685944
42,0.18604651162790697,2026-05-28 15:39:30.159532,2026-05-28 15:39:33.607260,0 days 00:00:03.447728,0.6146746501386932,0.02474889925605662,3,41,1526,236,2.9503282459763382e-05,0.0006350798434004275,0.769787983232609,0.012287308896280859,0.813953488372093,COMPLETE,0.813953488372093,0.012287308896280859
43,0.2790697674418605,2026-05-28 15:39:33.607798,2026-05-28 15:39:38.366466,0 days 00:00:04.758668,0.6725978968232503,0.028219548119725917,4,39,1766,237,3.597171427047518e-05,0.0008378749316545143,0.7613724880768976,0.015258166077515232,0.7209302325581395,COMPLETE,0.7209302325581395,0.015258166077515232
44,0.2325581395348837,2026-05-28 15:39:38.366902,2026-05-28 15:39:46.464016,0 days 00:00:08.097114,0.6202036646279002,0.02316388699454614,7,34,1931,217,0.0004751710066987114,0.1446846378994329,0.7499561513901866,0.011883870444326568,0.7674418604651163,COMPLETE,0.7674418604651163,0.011883870444326568
45,0.2325581395348837,2026-05-28 15:39:46.464541,2026-05-28 15:39:48.343306,0 days 00:00:01.878765,0.5266021224573246,0.12821930834202572,3,25,778,167,2.58814573716159e-06,0.00012974207906488484,0.7280718310022287,0.011869975884472111,0.7674418604651163,COMPLETE,0.7674418604651163,0.011869975884472111
46,0.2790697674418605,2026-05-28 15:39:48.343891,2026-05-28 15:39:53.159882,0 days 00:00:04.815991,0.5703333777863365,0.017992642759210736,4,17,1513,241,7.483130865628448e-07,0.0016230841449255686,0.6709106383745778,0.007374439489708496,0.7209302325581395,COMPLETE,0.7209302325581395,0.007374439489708496
47,0.2325581395348837,2026-05-28 15:39:53.160466,2026-05-28 15:39:58.527689,0 days 00:00:05.367223,0.8608216505938875,0.012342686283867815,11,52,1640,146,0.33352419262544303,0.013030593544232744,0.8148880668492338,0.009942243010533224,0.7674418604651163,COMPLETE,0.7674418604651163,0.009942243010533224
48,0.2093023255813954,2026-05-28 15:39:58.528294,2026-05-28 15:40:02.961111,0 days 00:00:04.432817,0.7598015021496787,0.054639070999058105,5,41,1330,162,2.4614199308618617e-07,1.0721121486872097e-05,0.6907297088390137,0.014232112815551779,0.7906976744186046,COMPLETE,0.7906976744186046,0.014232112815551779
49,0.2558139534883721,2026-05-28 15:40:02.961578,2026-05-28 15:40:09.201339,0 days 00:00:06.239761,0.5011078480261274,0.014320753996472377,12,31,1399,128,6.140688680493019e-05,4.885321819651761e-05,0.7709917278645344,0.013322647561907257,0.7441860465116279,COMPLETE,0.7441860465116279,0.013322647561907257
50,0.2325581395348837,2026-05-28 15:40:09.201906,2026-05-28 15:40:14.928170,0 days 00:00:05.726264,0.6153179862224624,0.023932365206661314,9,48,1813,179,0.000942208667605943,8.975949251684581e-07,0.5571047430979033,0.010347477874779427,0.7674418604651163,COMPLETE,0.7674418604651163,0.010347477874779427
51,0.2558139534883721,2026-05-28 15:40:14.928870,2026-05-28 15:40:18.207054,0 days 00:00:03.278184,0.592625517175243,0.029423802678305085,3,43,1572,208,1.0211830081781715e-05,0.00051154918827781,0.7255983817486616,0.010210808642514595,0.7441860465116279,COMPLETE,0.7441860465116279,0.010210808642514595
52,0.2093023255813954,2026-05-28 15:40:18.207681,2026-05-28 15:40:21.197879,0 days 00:00:02.990198,0.5553642035844241,0.038925536567934585,3,50,1505,198,4.338613939895677e-06,0.00031375687892279495,0.8725017409277416,0.0075712604518472955,0.7906976744186046,COMPLETE,0.7906976744186046,0.0075712604518472955
53,0.32558139534883723,2026-05-28 15:40:21.198447,2026-05-28 15:40:25.476857,0 days 00:00:04.278410,0.5944439149579956,0.03352724598145806,4,56,1708,218,2.475518545187325e-05,0.0025067489145995524,0.8412093126302469,0.008919340701017174,0.6744186046511628,COMPLETE,0.6744186046511628,0.008919340701017174
54,0.34883720930232553,2026-05-28 15:40:25.477521,2026-05-28 15:40:27.700283,0 days 00:00:02.222762,0.6828009574984609,0.019577064270083006,3,100,1526,190,0.00022120993263989306,0.00832366425037347,0.9040349675475113,0.0159469239341003,0.6511627906976745,COMPLETE,0.6511627906976745,0.0159469239341003
55,0.2325581395348837,2026-05-28 15:40:27.700822,2026-05-28 15:40:33.014455,0 days 00:00:05.313633,0.6311651295973524,0.04775501836601297,5,46,1726,209,1.605382952298197e-05,4.188338404885389e-08,0.8560125563439689,0.010823355679599913,0.7674418604651163,COMPLETE,0.7674418604651163,0.010823355679599913
56,0.2325581395348837,2026-05-28 15:40:33.015011,2026-05-28 15:40:37.094608,0 days 00:00:04.079597,0.5230097023293601,0.023524936540128792,3,35,1925,223,1.4837095782506151e-06,5.689785907580343e-06,0.812436239024972,0.012400594846553818,0.7674418604651163,COMPLETE,0.7674418604651163,0.012400594846553818
57,0.3023255813953488,2026-05-28 15:40:37.095132,2026-05-28 15:40:39.557468,0 days 00:00:02.462336,0.5819749876052308,0.21914755037238556,4,8,1270,23,4.2034088258020905e-05,0.00018702585535062052,0.7692185210717231,0.01122979016620276,0.6976744186046512,COMPLETE,0.6976744186046512,0.01122979016620276
58,0.32558139534883723,2026-05-28 15:40:39.557975,2026-05-28 15:40:45.169530,0 days 00:00:05.611555,0.5584859233502606,0.05677068784452723,14,41,1427,135,3.989526900385171e-06,0.0035998260956987805,0.5997575339100196,0.014833503114937663,0.6744186046511628,COMPLETE,0.6744186046511628,0.014833503114937663
59,0.32558139534883723,2026-05-28 15:40:45.170086,2026-05-28 15:40:46.531608,0 days 00:00:01.361522,0.6440296053106824,0.029182141811726008,5,64,517,202,9.100992562676439e-05,1.187922082966216e-08,0.5368883046619257,0.009799576868904215,0.6744186046511628,COMPLETE,0.6744186046511628,0.009799576868904215
60,0.2790697674418605,2026-05-28 15:40:46.532250,2026-05-28 15:40:50.177586,0 days 00:00:03.645336,0.6084810040233081,0.13290201187822037,3,23,1652,246,6.18342634979134e-07,0.00042298113280169245,0.9250907776437906,0.011831087859312188,0.7209302325581395,COMPLETE,0.7209302325581395,0.011831087859312188
61,0.16279069767441856,2026-05-28 15:40:50.178220,2026-05-28 15:40:56.581728,0 days 00:00:06.403508,0.5396546436453599,0.07116474099778641,6,37,1715,178,1.3329219456537256e-07,1.5425875737707856e-06,0.6323931566218777,0.015468931798369358,0.8372093023255814,COMPLETE,0.8372093023255814,0.015468931798369358
62,0.2790697674418605,2026-05-28 15:40:56.582259,2026-05-28 15:41:03.786231,0 days 00:00:07.203972,0.5566103775938459,0.2979365607684594,6,29,1814,176,1.1261931885919667e-07,3.094955100235515e-07,0.6471800399340061,0.013080262514895554,0.7209302325581395,COMPLETE,0.7209302325581395,0.013080262514895554
63,0.2790697674418605,2026-05-28 15:41:03.786748,2026-05-28 15:41:09.879174,0 days 00:00:06.092426,0.5180782202738411,0.10262735516224675,6,37,1634,192,2.830950317484542e-08,1.166126662859299e-06,0.5198528580270446,0.012197312688794289,0.7209302325581395,COMPLETE,0.7209302325581395,0.012197312688794289
64,0.37209302325581395,2026-05-28 15:41:09.879740,2026-05-28 15:41:12.809337,0 days 00:00:02.929597,0.5370297232277247,0.0438085694183679,4,86,1734,115,1.1307566097746168e-05,3.1817852815866046e-08,0.6199917129628582,0.013467145241590348,0.627906976744186,COMPLETE,0.627906976744186,0.013467145241590348
65,0.2325581395348837,2026-05-28 15:41:12.809856,2026-05-28 15:41:20.989481,0 days 00:00:08.179625,0.5858239401471621,0.018200759207196254,7,32,1838,184,2.8242015424740433e-07,3.2518668810836875e-05,0.5489065809886314,0.013008551397131309,0.7674418604651163,COMPLETE,0.7674418604651163,0.013008551397131309
